ip,gender,age,square,circle,triangle,star,heart,past,present,future
68.100.152.47,Female,18-24,#eea811,#066bd0,#8239f3,#de1726,#f5e747,#683737,#39a01c,#f23adf
175.140.194.53,Female,"Under 18",#f0ee47,#ee4444,#f0e82d,#fbed13,#eb1414,#0f0e3a,#7cf127,#3cf6ec
82.1.183.49,Male,18-24,#e12dda,#2c29d1,#c6ed35,#f0f150,#eb195b,#766d60,#8affc9,#e3ede5
47.4.242.29,Female,"Under 18",#f13f37,#f6f46a,#5468f2,#fff05c,#f15b5b,#fbe0a7,none,#f5b6fb
24.88.235.164,Male,"Under 18",#d1c1c1,#8eeff6,#bdf132,#fad32e,#df5d78,#92b5ce,#ffec00,#06f8f9
85.203.190.31,Female,25-34,#1b99de,#f67984,#eb8f0f,#f0eec7,#b61111,#b7a4b6,#3149aa,#3fee96
107.77.68.80,Female,18-24,#d88891,#5b775a,#f8c4ee,#c6c439,#f372de,#472929,#e35045,#2dbe3c
47.145.195.229,Female,18-24,#ec1313,#0a54e6,#f9e32f,#c79e1a,#f80da9,#7bd7e5,#a9dea1,#89e1e6
71.199.42.25,Female,25-34,#ec473c,#2240ec,#ec4646,#f6f53c,#f1c5f1,none,none,#83cafb
101.166.205.252,Male,"Under 18",#46ddd4,#e71331,#f59829,#ede121,#db0f3f,#79634e,#ab97d3,#aac3e4
100.0.144.177,Male,55-64,none,#db3333,#000000,#e7f042,#ec3254,#957575,none,#ffffff
173.54.215.237,Male,"Under 18",#4bd1d2,#2a62fe,#ffee6b,#fff54d,#ff7090,#fbee6a,#008a16,#7affe9
167.57.124.92,Male,18-24,#3bacf7,#e01010,#f8d52a,#f8d935,#ec0e0e,#f28e21,#5bf651,#22fcf7
188.195.69.31,Female,18-24,#30a7e8,#3ab427,#ef9f2e,#eff240,#de1212,none,none,none
84.245.121.101,Male,"Under 18",#e7de74,#ef3434,#eede63,#f3e65e,#e90707,#bfcded,none,#d9d9d4
